NumeroVol,Origine,Destination,ClasseReservation,Net,Taxe
KL1771,AMS,BER,L,232.00,117.65
KL1771,AMS,BER,L,352.00,104.95
KL1771,AMS,BER,L,352.00,117.65
KL1771,AMS,BER,M,556.00,104.95
KL1771,AMS,BER,M,556.00,117.65
KL1771,AMS,BER,M,639.00,104.95
KL1771,AMS,BER,M,639.00,117.65
KL1771,AMS,BER,M,799.00,104.95
KL1771,AMS,BER,M,799.00,117.65
KL1771,AMS,BER,N,189.00,104.95
KL1771,AMS,BER,N,189.00,117.65
KL1771,AMS,BER,N,309.00,104.95
KL1771,AMS,BER,N,309.00,117.65
KL1771,AMS,BER,O,395.00,104.95
KL1771,AMS,BER,O,395.00,117.65
KL1771,AMS,BER,O,424.00,104.95
KL1771,AMS,BER,O,424.00,117.65
KL1771,AMS,BER,O,455.00,104.95
KL1771,AMS,BER,O,455.00,117.65
KL1771,AMS,BER,O,489.00,104.95
KL1771,AMS,BER,O,489.00,117.65
KL1771,AMS,BER,O,526.00,104.95
KL1771,AMS,BER,O,526.00,117.65
KL1771,AMS,BER,O,575.00,104.95
KL1771,AMS,BER,O,575.00,117.65
KL1771,AMS,BER,O,604.00,104.95
KL1771,AMS,BER,O,604.00,117.65
KL1771,AMS,BER,O,635.00,104.95
KL1771,AMS,BER,O,635.00,117.65
KL1771,AMS,BER,O,669.00,104.95
KL1771,AMS,BER,O,669.00,117.65
KL1771,AMS,BER,O,706.00,104.95
KL1771,AMS,BER,O,706.00,117.65
KL1771,AMS,BER,P,454.00,104.95
KL1771,AMS,BER,P,454.00,117.65
KL1771,AMS,BER,P,535.00,104.95
KL1771,AMS,BER,P,535.00,117.65
KL1771,AMS,BER,P,685.00,104.95
KL1771,AMS,BER,P,685.00,117.65
KL1771,AMS,BER,Q,192.00,104.95
KL1771,AMS,BER,Q,192.00,117.65
KL1771,AMS,BER,Q,261.00,104.95
KL1771,AMS,BER,Q,261.00,117.65
KL1771,AMS,BER,Q,381.00,104.95
KL1771,AMS,BER,Q,381.00,117.65
KL1771,AMS,BER,R,161.00,104.95
KL1771,AMS,BER,R,161.00,117.65
KL1771,AMS,BER,R,281.00,104.95
KL1771,AMS,BER,R,281.00,117.65
KL1771,AMS,BER,S,310.00,104.95
KL1771,AMS,BER,S,310.00,117.65
